id;label;totalDeCurriculos; areasDeConhecimento
0;Cluster_0;1;[Física]
1;Cluster_1;1;[]
2;Cluster_2;1;[Engenharia Biomédica, Robótica, Mecatrônica e Automação]
3;Cluster_3;1;[Química]
4;Cluster_4;1;[Educação, Filosofia]
5;Cluster_5;1;[Farmacologia, Farmácia]
6;Cluster_6;1;[Farmácia]
7;Cluster_7;1;[Engenharia Elétrica, Ciência da Computação]
8;Cluster_8;1;[Física]
9;Cluster_9;1;[Filosofia]
10;Cluster_10;1;[Filosofia, História]
11;Cluster_11;1;[Farmácia]
12;Cluster_12;1;[Zootecnia]
13;Cluster_13;1;[Bioquímica, Farmacologia]
14;Cluster_14;1;[Letras, Artes]
15;Cluster_15;1;[Letras]
16;Cluster_16;2;[Agronomia]
17;Cluster_17;9;[Recursos Pesqueiros e Engenharia de Pesca, Ecologia, Probabilidade e Estatística, Botânica, Oceanografia, Fisiologia, Zootecnia, Sociologia]
18;Cluster_18;3;[Bioquímica, Imunologia, Genética, Recursos Pesqueiros e Engenharia de Pesca, Morfologia, Agronomia]
19;Cluster_19;6;[Ciência e Tecnologia de Alimentos, Engenharia Química, Engenharia Mecânica]
20;Cluster_20;5;[Engenharia Civil, Engenharia Mecânica]
21;Cluster_21;16;[Enfermagem, Saúde Coletiva, Sociologia, Odontologia, Filosofia, Educação, Engenharia de Produção, Engenharia Civil, Ciência da Computação]
22;Cluster_22;14;[Engenharia Mecânica, Engenharia Civil, Arquitetura e Urbanismo, Engenharia de Materiais e Metalúrgica, Engenharia Elétrica, Engenharia Aeroespacial]
23;Cluster_23;2;[Farmácia]
24;Cluster_24;4;[Medicina, Farmácia, Química]
25;Cluster_25;2;[Microbiologia, Imunologia, Parasitologia]
26;Cluster_26;10;[Bioquímica, Farmácia, Medicina, Farmacologia, Fisiologia]
27;Cluster_27;6;[Farmacologia, Psicologia, Fisiologia]
28;Cluster_28;2;[Filosofia]
29;Cluster_29;2;[Filosofia, Ciência Política]
30;Cluster_30;3;[Astronomia]
31;Cluster_31;6;[Física, Engenharia de Materiais e Metalúrgica]
32;Cluster_32;11;[Administração, Sociologia, Agronomia, Botânica, Economia, Recursos Florestais e Engenharia Florestal, Ciências Ambientais, Direito, Ciência Política, Serviço Social, Filosofia, História, Antropologia]
33;Cluster_33;4;[História, Filosofia, Letras, Antropologia, Teologia]
34;Cluster_34;13;[História, Antropologia, Educação, Sociologia, Educação Física, Filosofia, Psicologia, Letras, Ciência Política, Direito]
35;Cluster_35;5;[Filosofia]
36;Cluster_36;10;[Letras, História, Ciência Política, Artes, Comunicação, Lingüística, Filosofia, Antropologia, Teologia]
37;Cluster_37;7;[Ciência da Computação, Engenharia Elétrica, Engenharia Aeroespacial, Engenharia Mecânica, Engenharia de Produção]
38;Cluster_38;3;[Engenharia Mecânica, Engenharia de Produção, Ciência da Computação, Matemática]
39;Cluster_39;2;[Química]
40;Cluster_40;8;[Química, Bioquímica, Engenharia de Materiais e Metalúrgica]
41;Cluster_41;3;[Química]
42;Cluster_42;8;[Engenharia Química, Ciência e Tecnologia de Alimentos, Engenharia de Produção, Química]
43;Cluster_43;5;[Ciência da Computação, Engenharia Elétrica]
44;Cluster_44;19;[Engenharia Elétrica, Ciência da Computação, Engenharia Civil, Engenharia Mecânica, Engenharia Agrícola, Engenharia de Produção, Educação, Probabilidade e Estatística]
